"","Gene_name","NB.D1_logFC","NB.D1_logCPM","NB.D1_LR","NB.D1_PValue","NB.D1_FDR"
"ENSMUSG00000035352","Gm4791",-3.65247565073576,-0.761730241843124,29.4378970122048,5.77374850416438e-08,6.03900130309099e-06
"ENSMUSG00000006435","Gm27549",-1.2948530274577,2.65992343063433,16.3585910608804,5.24180121074769e-05,0.00231851908776877
"ENSMUSG00000035456","Gm47870",-1.24222366781952,1.65459703266471,11.4106473893076,0.000730243804023431,0.0196139955881278
"ENSMUSG00000035459","Cstl1",1.38850322728255,0.776766367691683,20.3366557185447,6.49444217459017e-06,0.000379860777323644
"ENSMUSG00000035557","Gm45512",1.47525507321913,7.09107218874755,13.4209127443401,0.000248834594869958,0.00833244431522171
"ENSMUSG00000035964","Unc93a",-1.22474777691957,3.00203558671169,17.0463051445333,3.64792853838537e-05,0.00170246239740237
"ENSMUSG00000036062","Gm28342",-1.08138180017152,2.16154732144528,17.0222267591979,3.69448016054526e-05,0.00171935321110353
"ENSMUSG00000036095","Vps37d",1.53395446179096,1.34107542076724,21.4351130550143,3.66006674033352e-06,0.000229153685598135
"ENSMUSG00000036169","Gm6169",2.02979838741214,5.37631678901445,86.9643824840805,1.10493244333566e-20,7.27659399072271e-18
"ENSMUSG00000006575","Gm25612",-1.09325165621363,4.45279221597892,12.1758562581668,0.000484120710483402,0.0143230455126545
"ENSMUSG00000036480","Cyp2c73-ps",-7.88357944502553,2.68361755916988,135.597812570456,2.44330135199843e-31,6.20633447712629e-28
"ENSMUSG00000006651","Gm23692",-1.79773258047919,6.72068749321864,51.1682959288707,8.47768342751867e-13,1.93258575672704e-10
"ENSMUSG00000036832","Gm49054",1.23961639760276,1.17027456902773,14.9690736206212,0.000109287702944032,0.00428027455076615
"ENSMUSG00000036907","Gm6726",-1.56886359641103,1.19078249275516,11.2348520974343,0.000802755029619248,0.0209600399143316
"ENSMUSG00000036923","Cadm2",1.34135335354726,2.10543112038345,23.9239533588721,1.0021702703231e-06,7.27330186800612e-05
"ENSMUSG00000036949","Rnf123",1.41891703721313,6.14375475573333,59.4730297981544,1.23981669808134e-14,3.90916725215897e-12
"ENSMUSG00000037161","Gm14681",-1.24586760196579,7.84046177472604,14.6516840956051,0.000129319044666468,0.00493438183093234
"ENSMUSG00000037196","Gm15539",-1.06392782330317,0.916943237826388,9.11809784961248,0.00253092991301675,0.0499472417129309
"ENSMUSG00000037217","Gm49059",-1.34853452494671,3.03796847535382,13.7349809109257,0.000210497221962894,0.00728181148584089
"ENSMUSG00000006800","Gm22495",-2.56897826564031,4.97040349859391,123.308539454954,1.19366111287578e-28,1.92949893164038e-25
"ENSMUSG00000037224","Gm9195",-2.22728749583637,3.67831589195028,47.5114392784986,5.46839080118388e-12,1.06849952566869e-09
"ENSMUSG00000037239","Gm13594",-1.86456753394154,3.60832518185101,54.4097588367306,1.62752615920299e-13,4.25574156423359e-11
"ENSMUSG00000037408","Gm28023",-1.16583637414156,4.13722507950631,25.2803911326422,4.95722837125016e-07,4.09974314740461e-05
"ENSMUSG00000037428","Gm6806",-1.97632009663203,0.603597671252901,20.3145770876019,6.5698143862482e-06,0.000381757743796991
"ENSMUSG00000037447","Olfr996",-1.11618362504551,2.74118578002142,20.8388778450662,4.99584882700879e-06,0.000299094909067486
"ENSMUSG00000007021","Csprs",-1.98713241692934,1.84930384836658,31.9184641168559,1.60781547149218e-08,1.84442367087758e-06
"ENSMUSG00000000617","Gm23273",-1.25720148258852,2.58071254529924,10.2128142334021,0.00139468188670489,0.0318751139170946
"ENSMUSG00000037686","Gm14701",-1.65770789195131,0.0963215137011193,9.75662624225189,0.00178677511999485,0.0386034610068389
"ENSMUSG00000037709","Olfr1000",1.35675302886567,6.79115248577837,55.4006622110047,9.83033300077356e-14,2.62331671932805e-11
"ENSMUSG00000037735","Gm15326",-1.23536273891606,1.10626830281736,10.5331814252257,0.00117250199620899,0.0278347903799626
"ENSMUSG00000037771","Tor1aip1",-1.57585224131732,1.23687684445727,11.8055335736428,0.000590549344790592,0.0166730658680701
"ENSMUSG00000037872","Ankrd63",-1.64400202597745,2.11444758330288,13.3906006728319,0.000252888389844245,0.00843641362067639
