NB.6H,NB.1D,NB.3D
4930517E11Rik,Lmo2,n-R5s3
Dnah6,Dnttip2,Gm23305
Gm24200,Gm8228,Gm23989
Mfsd1,Gm38336,Gm16471
Nod2,Gm14169,Rp1l1
Astx6,Spink8,Gm42697
Gm43822,Mir7228,Gm26265
Il6st,Slc35f2,4930558J18Rik
Gm24903,Gm14342,Cldn34c2
Gm47269,Gm20752,Sp4
Gm7439,Gm17129,Srpk3
Spata31d1a,Gm15020,Spink14
AU015836,Gm15023,4930519L02Rik
Cetn4,Gm47075,Mmp24
Olfr556,Gm19104,Gm48882
Gm48801,Rpl21-ps10,Sdc3
Gm11656,Gm18507,Galnt12
Top1,Olfr531,Airn
Rps4l,Rp31-ps19,Tyro3
Evpl,Gm42662,Vmn2r-ps34
Tmprss11c,Dsn1,Mdm4-ps
Ints14,Gm37264,Gm28069
Ndufaf3,Gm37993,Ptk2
Gm15089,Gm23087,Gm23847
Olfr33,Dhh,C030014I23Rik
Gm4319,Gm14871,Rps2-ps8
Gm14885,Snx1,Gm20953
C2,Gm19987,Ncapd2
Gm3943,Bnip2,Ssh1
Dffa,Gm12944,Atxn2
Sult2b1,1810021B22Rik,Gm5577
Crtc3,Glb1,Gm49610
Gm18076,Gm14845,Gm12869
Chst7,Enkd1,Adgra1
Gm44159,Gm41225,Gm29123
Gm37358,Gm33246,Gm45129
Olfr1265,Gm6174,Tuba4a
Gm22358,Gm49489,Wdr38
Gm44033,Gm48983,Gm45907
Gm43163,Gm23796,Gpd2
Pcbp3,Mir412,Samt1
Gm13880,Gm25635,Gm38191
Gm35323,5830426I08Rik,B3gnt9
Stil,Olfr314,Gtf2e2
Cecr2,Gm7102,Fancm
Stac2,Gm14835,
Kif21b,Tmem88,
Olfr464,Sorbs2,
Gm29243,Cyth4,
Gm27216,Gm24239,
Gm17409,Gm6764,
Tro,4930583I09Rik,
Gm7628,Gm22910,
Gm26868,Ly6e,
Gm14437,Btbd35f20,
Gm1587,Btbd35f17,
Dnase2b,Ifi35,
Mdp1,Plxnb3,
Gm49299,Olfr918,
Cspg4,Gm22642,
Tst,Gm24043,
Gm48954,Gm28609,
Gm8761,Mannr,
Gm30794,Traj46,
Gm24734,Gm44417,
Gm24628,Rpl17-ps8,
Tppp3,4930526H09Rik,
Gm44494,5031425F14Rik,
Gm6351,Gm26228,
Olfr142,Gm49926,
Pard6b,Gm44749,
AA792892,Klra4,
Snap91,Sorcs3,
Gm3139,Trav5-4,
Gm43697,Rbms1,
Olfr583,Gm35692,
Gm13008,Gm31182,
Rab11b-ps2,Olfr730,
Gm43569,Gm50420,
Klhl18,Gm44381,
Gm19104,Gm22303,
Bhlha15,Gm24153,
Gpsm2,Ubn1,
Agbl3,4933407I08Rik,
Olfr532,Slc17a4,
Gm25417,Gm25411,
Gm42662,Rnf227,
Gm25011,Gm47763,
Gm5457,Afmid,
Dsn1,Gm22912,
Gm6348,Gm26339,
Map3k15,Ppp2ca,
Gm37993,Gm44453,
Gm23124,Gm22048,
Gm23087,Gm2987,
Gm49570,Mettl7a3,
Ddn,Mir759,
Ctsh,Gm25915,
Pcca,Gm17844,
Gm46575,Rpl23a-ps7,
Plxna2,Gm25625,
Gm37674,Gm11672,
C2cd4b,Gm23344,
Snx1,n-R5s98,
Bnip2,AC121573.1,
Gm12944,Gm24442,
1810021B22Rik,Recql,
Gm14845,Prl3d1,
Adgre1,Cog4,
Gm41225,Snora64,
Gm37341,Ift172,
Efna5,Elac2,
Gm15224,Rasgrp2,
Gm48982,Gm15454,
Gm23796,Gm13930,
Vsig1,Il11ra2,
Abhd16b,Lce1m,
Gm23197,Tsc22d2,
Gm27553,Gm8950,
Gm23889,Gm23640,
Mir574,4930466I24Rik,
Gm23028,Syt8,
Gm27882,Heatr1,
Ifngr2,Mir201,
Mcrip1,Gm26463,
Olfr314,Gm26207,
Gm21430,Mir7043,
A530040E14Rik,Tmem238,
Gm973,Gm13710,
Gm22491,Gm29449,
Nlrc4,Gm48590,
Gm24239,Cand1,
Fam221a,Gm24968,
Yipf4,Gm13887,
Vmn2r-ps94,Cgrrf1,
Gm15258,Mir466c-1,
4930583I09Rik,Gm38302,
Gm22910,Idh3b,
Ly6e,Gm22183,
Gm6618,Mbnl1,
Gm35569,Prph,
Yipf6,Galt,
Gm43249,Gm25221,
Satb2,Gm23595,
Stk40,Gm27866,
Nudt16l2,Gm24270,
Olfr918,Vmn1r-ps144,
Acot12,4930421C12Rik,
Gm24043,Gm21057,
Pik3c2b,Gm42981,
Gm37381,Tmem204,
Bst2,Ppp1r35,
Snord14e,Cetn3,
Dst,Dpy19l3,
Gm9111,Gm19658,
Nnat,Gm26275,
Klra4,Gm23016,
Gm27357,Gm44467,
H19,Mir493,
Nphp3,Mir369,
Trav6-7-dv9,Gm23194,
Trav7-6,Mir7678,
Trav8-2,Gm24984,
Gm13991,Gm27896,
Gm9529,Gm17622,
Gm42208,Gm21897,
Olfr18,Gm4425,
Eef1akmt4,Comtd1,
Gm42628,Gm21060,
Gm45070,Gm22118,
Olfr251,Gm22750,
Gm38291,Gm24432,
Gm43327,Gm25749,
Gm14881,Gm27849,
Gm31182,Gm23134,
Mir1192,Gm25102,
Gm26287,Rgs17,
Gm25285,Npl,
Mir20a,Gm25068,
Gm45360,Gm22475,
Gm17555,AC133103.3,
Gm25419,Gm23757,
Pdf,Gm22782,
Klrd1,Cldn5,
Ppp1r13l,1600012P17Rik,
Gm20564,Gm23047,
Mir680-1,Gm26484,
Gm31256,Gm18299,
Gm22912,Olfr1455-ps1,
Gm15951,C230099D08Rik,
Gm44490,Ppp1cc,
Gm22911,Gm28001,
Gm22302,Gm23432,
Gm48559,Gm19640,
Gm24431,Gm47291,
Gm22288,Gm22739,
Gm23702,Pramef25,
Mir3971,Slc27a3,
Gm26988,Gm11934,
Osgin1,Mir8120,
Gm25110,Gm47312,
1110017D15Rik,Gm49066,
Gm25795,Mir6405,
Gm11077,Gm48315,
Gm16066,Gm3194,
Gm4891,Olfr626-ps1,
Esam,Gm25276,
Gm5354,Gm23633,
Runx3,Gm25578,
Gm24830,Gm26187,
Gm25156,Olfr1103-ps1,
Mir873a,Kpna4,
Gm28939,Gm48360,
Gm22251,Gm26496,
Gm24749,Gm26200,
Gm12974,Fam91a1,
Gm14588,4933406J10Rik,
Lce3b,Gm49669,
Gm8878,Bmi1,
Gm21877,Gm40663,
Gm15454,Gm22468,
Mir291a,Gm13017,
Gm22004,Gm10434,
AL663045.1,Vmn1r251,
Olfr1416,A530088E08Rik,
Gm22423,Mir7007,
Olfr1174,Gm22285,
Ighv5-1,Fbn1,
Gm27529,Gm4430,
Smad7,Vmn1r256,
Gm12203,Tatdn1,
Syt8,Gm3727,
Gm18177,Gm50060,
Gm48895,Gm19265,
Ighv5-12-4,Gm22600,
Gm23354,Gm25868,
Slc16a11,Gm41030,
Gm26207,Gm2517,
Mir6378,Gm11977,
Gm24788,Gm24054,
Gm24151,Gm29719,
Gm23984,Mir1968,
Gm22256,Gm24427,
Mir7043,Mir8114,
Hormad1,Mir7652,
Ighv7-1,Gm22282,
Mir3473e,Mir877,
Gm44364,Mir6355,
Gm15739,Gm25994,
Gm22123,n-R5s3,
Ighv14-2,Mir8117,
Gm28282,Gm22315,
Gm50178,Gm27374,
Gm24968,Gm22466,
Gm13887,Hmgn5,
Cgrrf1,Gm42697,
Mir466c-1,Vmn2r-ps83,
Tmem209,Elavl4,
Gm25047,4930558J18Rik,
Gm22183,Gm8681,
Mir5120,Gm14661,
Mir468,Srpk3,
Bhmt-ps1,Gm2427,
Gm13064,Gm48868,
Mindy4b-ps,BC021767,
Gm47136,Gm44314,
Nt5c3,Traj24,
Gm26126,Gm42576,
Ak1,Gm24731,
n-R5s63,4930519L02Rik,
Gm45554,BC034090,
Gm49140,Gm18971,
Galt,Gm9408,
mt-Rnr2,Gm27013,
Gm48397,Galnt12,
Gm24003,Olfr921,
Gm45523,4930447C11Rik,
Gm24026,Gm26398,
Gm28297,Airn,
1700029H14Rik,Dhx33,
